Hyperparameters:
  Input dim        : 532
  Hidden layers    : 128, 64
  Dropout rate     : 0.3
  Learning rate    : 0.01
  Epochs           : 100
  Batch size       : 32
  Scheduler step   : 1
  Scheduler gamma  : 0.9

Epoch	Loss	Train Acc	Val Acc
1	1019.8293	0.4521	0.6533
2	840.5613	0.5867	0.7005
3	807.3196	0.6110	0.7176
4	785.9484	0.6294	0.7405
5	759.3319	0.6495	0.7329
6	749.4957	0.6525	0.7346
7	748.4349	0.6575	0.6644
8	732.0100	0.6619	0.7476
9	716.1416	0.6728	0.7317
10	706.2352	0.6830	0.7304
11	700.5357	0.6798	0.7501
12	681.6371	0.6964	0.7524
13	682.9653	0.6930	0.7482
14	673.7873	0.6960	0.7541
15	660.8419	0.7055	0.7323
16	663.2848	0.7049	0.7502
17	649.4594	0.7093	0.7437
18	642.3736	0.7140	0.7374
19	635.2830	0.7174	0.6702
20	633.9176	0.7155	0.7426
21	630.0828	0.7204	0.7343
22	630.4679	0.7211	0.7515
23	626.1454	0.7227	0.7513
24	615.9243	0.7282	0.7453
25	611.4073	0.7312	0.7233
26	614.5275	0.7285	0.7451
27	609.5905	0.7281	0.7416
28	611.1645	0.7288	0.7100
29	600.3059	0.7366	0.7242
30	607.0736	0.7330	0.7495
31	603.1713	0.7330	0.7510
32	597.1010	0.7348	0.7473
33	599.1252	0.7354	0.7426
34	589.2283	0.7404	0.7453

Early stopping triggered at epoch 34.
Final Test Accuracy: 0.7541
